"DATA_YEAR","VICTIM_ID","OFFENDER_ID","RELATIONSHIP_ID","NIBRS_VICTIM_OFFENDER_ID"
2020,139609671,144480841,3,45088774
2020,139609700,144480874,18,45094071
2020,139614701,144480977,3,45088805
2020,139614756,144479005,9,45088817
2020,139609891,144479035,24,45088820
2020,139614841,144479097,18,45088830
2020,139614852,144479103,24,45088833
2020,139614996,144479250,3,45088856
2020,139610216,144479398,18,45094171
2020,139610324,144479494,16,45094186
2020,139610326,144479494,16,45094187
2020,139615219,144479494,16,45094185
2020,139615249,144479521,3,45088899
2020,139610405,144481540,1,45094200
2020,139605694,144469460,24,45093204
2020,139605694,144472003,24,45087950
2020,139605694,144471999,18,45087948
2020,139605756,144472073,16,45087969
2020,139605826,144472138,27,45093227
2020,139600473,144469653,24,45088001
2020,139605898,144469703,3,45093240
2020,139601043,144475256,24,45093351
2020,139606426,144475282,1,45093359
2020,139606526,144475381,3,45088125
2020,139606596,144472874,24,45088137
2020,139601354,144472962,3,45088167
2020,139606796,144475670,21,45093423
2020,139606930,144473216,24,45093446
2020,139601770,144475968,3,45088239
2020,139607081,144473362,24,45093490
2020,139607302,144476156,18,45093519
2020,139601997,144476156,18,45093530
2020,139607361,144476289,1,45088287
2020,139602116,144473647,21,45088306
2020,139607643,144473871,4,45093586
2020,139607678,144473910,18,45093598
2020,139602875,144474359,1,45088465
2020,139602898,144474377,3,45093728
2020,139612920,144477121,17,45093729
2020,139608253,144474472,24,45093755
2020,139608486,144477461,25,45093814
2020,139608486,144477459,24,45093813
2020,139613249,144477459,25,45088538
2020,139613249,144477461,24,45088539
2020,139608568,144477566,3,45093831
2020,139613359,144474786,18,45093836
2020,139613359,144477587,1,45088559
2020,139613359,144477588,18,45088560
2020,139613464,144474887,24,45088576
2020,139613686,144477916,3,45088615
2020,139609185,144478295,14,45093956
2020,139609296,144478403,3,45088688
2020,139609307,144480491,13,45088689
2020,139614465,144480752,24,45088753
2020,139614804,144481069,18,45088829
2020,139614846,144479102,1,45088832
2020,139614938,144479185,16,45094128
2020,139614938,144479186,17,45088847
2020,139614980,144479235,18,45088852
2020,139610127,144481281,24,45094143
2020,139615029,144481281,24,45088860
2020,139610129,144481281,24,45094144
2020,139615061,144479308,24,45094147
2020,139615133,144479386,24,45088882
2020,139615350,144479618,18,45088909
2020,139610504,144479681,1,45094212
2020,139610808,144485002,3,45088973
2020,139610823,144485018,25,45094269
2020,139615776,144485016,25,45088976
2020,139615776,144485018,21,45088977
2020,139610823,144485016,21,45088979
2020,139610860,144482002,27,45088982
2020,139615843,144485093,3,45088992
2020,139610961,144485173,27,45094295
2020,139611018,144482147,14,45094303
2020,139616010,144482181,24,45089041
2020,139616097,144485343,27,45089062
2020,139611135,144485343,25,45094342
2020,139611135,144485342,27,45089063
2020,139616097,144485342,25,45089061
2020,139611394,144482481,18,45094370
2020,139616686,144482798,1,45094432
2020,139611907,144486121,24,45094472
2020,139617114,144486339,3,45094511
2020,139617148,144486382,3,45089252
2020,139612258,144483333,21,45089275
2020,139617522,144483577,16,45089311
2020,139612861,144487122,27,45094645
2020,139617991,144487207,24,45094663
2020,139618015,144487228,24,45094667
2020,139618192,144487401,17,45089442
2020,139623460,144487730,1,45089497
2020,139623587,144484600,5,45089531
2020,139618654,144484653,3,45089547
2020,139623666,144487911,25,45089551
2020,139623666,144484670,1,45094824
2020,139618673,144484670,25,45094823
2020,139618673,144487911,1,45089550
2020,139623764,144484775,24,45094841
2020,139623902,144484908,19,45089600
2020,139618942,144484939,1,45094874
2020,139586804,144453443,25,45081353
2020,139586805,144453443,16,45091356
2020,139582782,144453444,18,45086423
2020,139586805,144453444,25,45091357
2020,139582782,144453443,9,45086422
2020,139586804,144453444,16,45091354
2020,139586841,144457204,3,45086428
2020,139586841,144457203,25,45091362
2020,139586847,144457203,3,45091363
2020,139586847,144457204,25,45091365
2020,139587789,144457985,1,45086603
2020,139589040,144454854,17,45086684
2020,139593477,144458561,24,45086726
2020,139589393,144460197,16,45086754
2020,139594008,144459039,17,45086841
2020,139594127,144460740,26,45091879
2020,139594191,144459050,13,45091897
2020,139271623,144137093,19,44972415
2020,139272989,144132403,21,44968056
2020,139272161,144137564,1,44968140
2020,139273380,144137564,1,44972501
2020,139273378,144137564,1,44972500
2020,139272633,144133283,21,44972640
2020,139276513,144140582,14,44973229
2020,139276515,144140582,14,44973230
2020,139279886,144140582,14,44973231
2020,139284694,144148861,1,44973804
2020,139284718,144148879,1,44973809
2020,139285880,144149916,3,44974010
2020,139294411,144153380,3,44974867
