"DATA_YEAR","VICTIM_ID","INJURY_ID"
2020,139440819,4
2020,139440831,4
2020,139441986,4
2020,139441994,4
2020,139446909,5
2020,139447219,4
2020,139447574,4
2020,139442654,5
2020,139452907,4
2020,146978471,4
2020,146976673,4
2020,146976867,6
2020,146976867,1
2020,146976867,3
2020,146977147,4
2020,146977690,4
2020,146977833,5
2020,146978802,4
2020,146982930,5
2020,146978834,4
2020,146983306,4
2020,146978974,5
2020,146983433,5
2020,146979044,4
2020,146983500,4
2020,146983501,4
2020,146983508,5
2020,146983557,4
2020,146983657,4
2020,146979144,4
2020,146979146,5
2020,146983735,4
2020,146984159,5
2020,146984156,5
2020,146979441,4
2020,146979440,4
2020,146984294,5
2020,146984292,5
2020,146979510,5
2020,146984383,5
2020,146979661,5
2020,146985331,5
2020,146985603,5
2020,146985671,5
2020,146985719,5
2020,146985927,5
2020,146986009,5
2020,146980903,4
2020,146986514,5
2020,146986518,8
2020,146986518,4
2020,146986633,4
2020,146986633,2
2020,146986631,4
2020,146986657,4
2020,146986689,5
2020,146986761,4
2020,146986771,5
2020,146986775,4
2020,146986786,4
2020,146986810,5
2020,146986816,4
2020,146986847,4
2020,146986851,6
2020,146986893,4
2020,146986894,4
2020,146986916,4
2020,146986915,5
2020,146986917,5
2020,146986936,4
2020,146986943,4
2020,146986944,4
2020,146986947,4
2020,146986945,4
2020,146986946,4
2020,146986969,1
2020,146981379,5
2020,146981431,4
2020,146987093,5
2020,146987157,4
2020,146987167,4
2020,146981516,5
2020,146987192,4
2020,146987259,5
2020,146987271,4
2020,146981587,5
2020,139241146,4
2020,139236828,5
2020,139250763,4
2020,139246180,3
2020,139246355,4
2020,139246586,4
2020,139251441,4
2020,139410794,5
2020,139411761,4
2020,139447525,4
2020,139404764,4
2020,139406591,4
2020,139445098,4
2020,139445101,5
2020,139441042,5
2020,139445275,5
2020,139445499,5
2020,139441456,4
2020,139441815,5
2020,139446635,5
2020,139442047,5
2020,139442312,5
2020,139478243,5
2020,139235944,5
2020,139236853,3
2020,139250376,4
2020,139250636,5
2020,139251059,4
2020,139259027,4
2020,139253944,5
2020,139259117,5
2020,139478275,4
2020,139478296,8
2020,139477147,5
2020,139477295,4
2020,139478772,4
2020,139478830,4
2020,139478828,4
2020,139478881,5
2020,139477500,5
2020,139479171,5
2020,139477713,4
2020,139477722,5
2020,139479334,5
2020,139477806,5
2020,139479502,4
2020,139479650,5
2020,139479659,5
2020,139479658,5
2020,139483027,5
2020,139479704,5
2020,139483252,5
2020,139479961,5
2020,139479964,5
2020,139480072,4
2020,139483713,4
2020,139480610,4
2020,139483798,4
2020,139480736,4
2020,139480872,4
2020,139480934,4
2020,139480940,4
2020,139481041,5
2020,139484115,4
2020,139481243,5
2020,139481279,4
2020,139481304,4
2020,139484306,5
2020,139484328,1
2020,139481448,5
2020,139484351,4
2020,139481478,4
2020,139484474,5
2020,139484507,4
2020,139481676,5
2020,139481757,4
2020,139484682,5
2020,139481873,5
2020,139482058,4
2020,139485038,4
2020,139482264,5
2020,139485145,5
2020,139485199,4
2020,139482481,4
2020,139485333,4
2020,139482880,4
2020,139487985,4
2020,139488059,5
2020,139488077,5
2020,139485782,4
2020,139485792,5
2020,139485809,5
2020,139488262,2
2020,139488263,5
2020,139488257,5
2020,139485858,4
2020,139485901,5
2020,139488543,5
2020,139488564,5
2020,139488746,4
2020,139488830,4
2020,139488910,5
2020,139486345,4
2020,139488958,4
2020,139486413,5
2020,139486583,5
2020,139489435,5
2020,139489588,5
2020,139489615,5
2020,139486910,5
2020,139271890,6
2020,139271888,6
2020,139283361,5
2020,139283364,5
2020,139283327,5
2020,139283367,5
2020,139283606,5
2020,139284084,5
2020,139281919,5
2020,139282532,5
2020,139288636,4
2020,139294038,4
2020,139291758,5
2020,139295329,5
2020,139295780,5
2020,139295902,5
2020,139295961,5
2020,139296112,4
2020,139477617,5
2020,139479208,5
2020,139339576,5
2020,139339582,5
2020,139339574,5
2020,139454059,5
2020,139340752,4
2020,139441453,5
2020,139480208,4
2020,139442279,4
2020,139447188,2
2020,139442468,4
2020,139442796,4
2020,139449432,4
2020,139455919,4
2020,139488601,5
2020,139458402,4
2020,139458663,4
2020,139459495,5
2020,139477255,4
2020,139478795,5
2020,139478706,4
2020,139479499,5
2020,139483737,4
2020,139483735,6
2020,139483734,3
2020,139480682,1
2020,139480980,4
2020,139484015,4
2020,139481068,4
2020,139481161,3
2020,139481179,4
2020,139481245,4
2020,139486046,4
2020,139488927,5
2020,139339580,4
2020,139407943,5
2020,139408115,5
2020,139408231,4
2020,139453675,4
2020,139457196,5
2020,139446964,5
2020,139447134,1
2020,139447134,3
2020,139447137,6
2020,139447313,4
2020,139442873,4
2020,139448266,5
2020,139449465,5
2020,139455346,5
2020,139449736,4
2020,139449968,5
2020,139456516,4
2020,139457636,4
2020,139457772,4
2020,139452168,6
2020,139459415,5
2020,139459497,4
2020,146975981,4
2020,146978141,5
2020,146976584,6
2020,146978465,5
2020,146977062,4
2020,146977198,4
2020,146978767,4
2020,146978877,4
2020,146983188,4
2020,146978895,4
2020,146983209,4
2020,146978923,4
2020,146978941,4
2020,146978964,4
2020,146983334,4
2020,146983355,4
2020,146983418,4
2020,146983443,2
2020,146979031,4
2020,146983517,3
2020,146983540,6
2020,146983660,5
2020,146983674,5
2020,146979140,4
2020,146983879,5
2020,146983875,5
2020,146983882,5
2020,146979239,5
2020,146984334,5
2020,146984410,4
2020,146984556,4
2020,146984658,5
2020,146984656,5
2020,146984715,5
2020,146984718,5
2020,146979910,4
2020,146985303,5
2020,146985306,5
2020,146986503,5
2020,139408524,4
2020,139444632,5
2020,139444633,5
2020,139440604,4
2020,139441188,5
2020,139445530,5
2020,139445685,5
2020,139446079,7
2020,139446079,8
2020,139446079,4
2020,139446846,5
2020,139447052,5
2020,139453228,4
2020,139453252,5
2020,139454144,4
2020,139454614,4
2020,139454869,4
2020,139450805,5
2020,139457080,4
2020,139458478,5
2020,139452418,4
2020,139478255,3
2020,139478874,4
2020,139477743,5
2020,139479343,5
