"","combo","partner_crime","child_crime","stranger_crime","burglary_home_stranger","victim_male","victim_female","victim_unknown_sex","offender_male","offender_female","offender_unknown_sex","victim_minor","victim_adult","offender_minor","offender_adult"
"16711","ROCKINGHAM-NH-2018-7",89,137,111,0,469,484,1,704,274,32,87,859,87,859
"16712","ROCKINGHAM-NH-2018-8",84,144,137,0,435,374,0,588,295,5,71,737,71,737
"16713","ROCKINGHAM-NH-2018-9",94,144,174,0,464,417,5,689,211,6,124,749,124,749
"16714","ROCKINGHAM-VA-2018-1",27,21,22,0,66,64,3,206,63,0,10,112,10,112
"16715","ROCKINGHAM-VA-2018-10",20,26,49,0,71,71,1,129,68,0,40,100,40,100
"16716","ROCKINGHAM-VA-2018-11",14,12,13,0,50,37,0,114,37,0,7,80,7,80
"16717","ROCKINGHAM-VA-2018-12",13,10,13,0,67,65,1,111,60,1,11,119,11,119
"16718","ROCKINGHAM-VA-2018-2",16,16,14,0,51,60,12,160,64,1,9,102,9,102
"16719","ROCKINGHAM-VA-2018-3",21,12,18,0,74,47,2,148,52,2,7,110,7,110
"16720","ROCKINGHAM-VA-2018-4",43,41,50,0,64,56,0,188,70,0,14,106,14,106
"16721","ROCKINGHAM-VA-2018-5",11,11,15,0,57,59,7,146,64,0,6,108,6,108
"16722","ROCKINGHAM-VA-2018-6",8,8,10,0,50,43,0,107,28,2,12,81,12,81
"16723","ROCKINGHAM-VA-2018-7",18,18,10,2,58,105,1,197,51,3,13,150,13,150
"16724","ROCKINGHAM-VA-2018-8",11,12,9,0,76,82,2,129,121,3,10,144,10,144
"16725","ROCKINGHAM-VA-2018-9",23,24,36,1,75,49,1,197,40,1,21,98,21,98
"16726","ROCKWALL-TX-2018-1",44,28,47,0,186,149,0,341,119,72,30,299,30,299
"16727","ROCKWALL-TX-2018-10",1032,1318,1391,21,4418,4168,10,5787,1472,2088,439,8134,439,8134
"16728","ROCKWALL-TX-2018-11",880,1147,1195,28,4355,3907,23,5543,1427,2307,399,7873,399,7873
"16729","ROCKWALL-TX-2018-12",1010,1345,1328,33,4744,4294,14,6080,1625,2372,433,8603,433,8603
"16730","ROCKWALL-TX-2018-2",32,24,50,0,187,144,0,283,159,55,36,295,36,295
"16731","ROCKWALL-TX-2018-3",883,1135,1298,0,3779,3968,3,5363,1368,1874,416,7297,416,7297
"16732","ROCKWALL-TX-2018-4",893,1175,1328,4,3992,3951,13,5419,1443,1957,447,7461,447,7461
"16733","ROCKWALL-TX-2018-5",1096,1275,1598,0,4583,4329,16,6010,1654,2124,498,8385,498,8385
"16734","ROCKWALL-TX-2018-6",1112,1369,1436,1,4362,4232,11,6074,1613,2197,488,8092,488,8092
"16735","ROCKWALL-TX-2018-7",1198,1434,1531,1,4524,4017,47,6208,1625,2047,417,8159,417,8159
"16736","ROCKWALL-TX-2018-8",1035,1285,1429,20,4771,4198,1,6289,1689,2173,431,8516,431,8516
"16737","ROCKWALL-TX-2018-9",1018,1356,1507,14,4694,4367,13,6431,1623,2077,464,8600,464,8600
"16738","ROGER MILLS-OK-2018-1",0,3,0,0,2,3,1,2,5,1,0,6,0,6
"16739","ROGER MILLS-OK-2018-10",0,8,0,0,17,3,0,23,0,0,0,20,0,20
"16740","ROGER MILLS-OK-2018-11",0,2,4,0,7,4,0,7,2,1,0,11,0,11
"16741","ROGER MILLS-OK-2018-12",2,3,2,0,7,2,0,7,0,0,1,8,1,8
"16742","ROGER MILLS-OK-2018-2",1,1,1,0,1,2,0,3,0,0,0,3,0,3
"16743","ROGER MILLS-OK-2018-3",1,1,1,0,0,2,3,2,5,0,0,5,0,5
"16744","ROGER MILLS-OK-2018-4",1,0,2,0,5,2,1,6,0,0,2,6,2,6
"16745","ROGER MILLS-OK-2018-5",0,0,1,0,0,1,3,2,1,0,0,4,0,4
"16746","ROGER MILLS-OK-2018-6",4,4,2,0,2,4,0,5,0,0,0,6,0,6
"16747","ROGER MILLS-OK-2018-7",0,0,1,0,1,5,1,5,0,0,0,7,0,7
"16748","ROGER MILLS-OK-2018-8",0,3,2,0,4,6,0,2,13,0,0,10,0,10
"16749","ROGER MILLS-OK-2018-9",2,3,2,0,5,1,0,1,3,0,3,3,3,3
"16750","ROGERS-OK-2018-1",32,35,18,0,72,101,1,181,120,0,20,154,20,154
"16751","ROGERS-OK-2018-10",22,34,16,0,75,127,3,149,86,12,33,172,33,172
"16752","ROGERS-OK-2018-11",28,33,28,0,69,75,0,148,67,4,15,129,15,129
"16753","ROGERS-OK-2018-12",20,28,20,0,62,83,2,130,88,5,13,134,13,134
"16754","ROGERS-OK-2018-2",23,28,24,0,53,82,8,100,80,0,19,122,19,122
"16755","ROGERS-OK-2018-3",48,48,29,0,90,100,4,189,84,0,29,165,29,165
"16756","ROGERS-OK-2018-4",33,34,36,0,76,105,2,166,104,2,29,154,29,154
"16757","ROGERS-OK-2018-5",17,37,22,0,152,160,18,278,129,11,34,296,34,296
"16758","ROGERS-OK-2018-6",32,28,23,0,92,82,1,154,90,4,13,162,13,162
"16759","ROGERS-OK-2018-7",28,28,18,0,80,81,2,190,136,8,26,137,26,137
"16760","ROGERS-OK-2018-8",26,34,17,0,134,125,4,164,71,6,22,241,22,241
"16761","ROGERS-OK-2018-9",31,33,34,0,79,143,3,208,131,7,18,205,18,205
"16762","ROLETTE-ND-2018-1",4,4,4,0,10,8,0,21,8,0,3,14,3,14
"16763","ROLETTE-ND-2018-10",0,0,1,0,7,1,0,12,9,0,0,8,0,8
"16764","ROLETTE-ND-2018-11",1,0,0,0,6,3,0,5,3,0,0,8,0,8
"16765","ROLETTE-ND-2018-12",0,0,0,0,1,0,0,5,2,0,0,1,0,1
"16766","ROLETTE-ND-2018-2",0,0,0,0,3,3,0,12,7,0,0,3,0,3
"16767","ROLETTE-ND-2018-3",2,2,1,0,1,5,0,7,3,1,1,5,1,5
"16768","ROLETTE-ND-2018-4",2,2,2,0,4,0,0,8,8,0,2,2,2,2
"16769","ROLETTE-ND-2018-5",3,4,2,0,9,2,0,13,5,0,0,11,0,11
"16770","ROLETTE-ND-2018-6",2,0,0,0,4,5,0,5,3,0,0,9,0,9
"16771","ROLETTE-ND-2018-7",8,7,4,0,5,9,0,13,2,1,3,11,3,11
"16772","ROLETTE-ND-2018-8",0,5,1,0,7,2,0,8,2,1,3,5,3,5
"16773","ROLETTE-ND-2018-9",1,0,0,0,0,2,0,2,1,0,0,2,0,2
"16774","ROOKS-KS-2018-1",2,1,1,0,3,6,0,12,5,0,0,9,0,9
"16775","ROOKS-KS-2018-10",0,1,0,0,2,0,0,8,5,0,1,1,1,1
"16776","ROOKS-KS-2018-11",7,6,5,0,8,9,0,20,4,0,7,10,7,10
"16777","ROOKS-KS-2018-12",3,2,2,0,4,4,0,6,1,0,1,7,1,7
"16778","ROOKS-KS-2018-2",8,9,8,0,16,2,0,18,0,0,8,10,8,10
"16779","ROOKS-KS-2018-3",1,1,1,0,4,1,0,6,0,0,0,5,0,5
"16780","ROOKS-KS-2018-4",0,0,0,0,1,2,0,5,1,0,0,3,0,3
"16781","ROOKS-KS-2018-5",3,0,3,0,3,3,0,6,8,0,0,6,0,6
"16782","ROOKS-KS-2018-6",2,2,1,0,0,3,0,9,2,0,1,2,1,2
"16783","ROOKS-KS-2018-7",4,1,0,0,1,7,0,7,0,0,0,8,0,8
"16784","ROOKS-KS-2018-8",4,6,2,0,4,6,0,10,1,0,2,8,2,8
"16785","ROOKS-KS-2018-9",1,0,0,0,5,7,0,17,9,0,0,12,0,12
"16786","ROOSEVELT-MT-2018-1",19,27,21,0,31,40,1,70,37,0,10,60,10,60
"16787","ROOSEVELT-MT-2018-10",7,10,14,0,27,15,0,42,22,0,3,39,3,39
"16788","ROOSEVELT-MT-2018-11",11,10,9,0,17,20,1,39,19,0,6,32,6,32
"16789","ROOSEVELT-MT-2018-12",12,10,8,0,21,12,0,30,15,0,0,33,0,33
"16790","ROOSEVELT-MT-2018-2",13,33,17,0,38,43,1,72,27,0,12,70,12,70
"16791","ROOSEVELT-MT-2018-3",31,32,32,0,45,57,0,77,47,0,14,87,14,87
"16792","ROOSEVELT-MT-2018-4",22,17,25,0,24,48,1,76,19,0,7,66,7,66
