"DATA_YEAR","ARRESTEE_ID","WEAPON_ID","NIBRS_ARRESTEE_WEAPON_ID"
2020,39219202,1,39447750
2020,39219289,1,39447818
2020,39219448,1,39449946
2020,39274229,1,39497020
2020,39276469,1,39497032
2020,39274253,1,39497049
2020,39274270,1,39494622
2020,39274280,1,39494633
2020,39274297,1,39494655
2020,39274355,7,39494723
2020,39274404,1,39494760
2020,39276699,1,39494786
2020,39276710,1,39497268
2020,39274447,1,39497287
2020,39276819,1,39497390
2020,39276816,1,39497385
2020,39276826,1,39497393
2020,39279525,1,39497415
2020,39279524,1,39497414
2020,39276993,1,39497569
2020,39277131,3,39497707
2020,39279712,1,39497712
2020,39279748,1,39500089
2020,39279795,1,39500133
2020,39277243,1,39497826
2020,39279803,1,39497825
2020,39279801,1,39500140
2020,39277261,1,39500159
2020,39277283,3,39497865
2020,39277283,5,39497868
2020,39277315,1,39497900
2020,39279858,1,39500193
2020,39277388,1,39497984
2020,39277421,1,39500230
2020,39277635,1,39500331
2020,39280035,1,39500369
2020,39277689,1,39498283
2020,39280054,1,39500387
2020,39280055,1,39500388
2020,39280086,1,39500425
2020,39277769,1,39500442
2020,39277888,1,39500521
2020,39277898,1,39498495
2020,39280254,1,39498559
2020,39277964,1,39500586
2020,39277997,1,39498589
2020,39280288,1,39500624
2020,39280289,1,39500625
2020,39280308,3,39500641
2020,39278102,1,39498710
2020,39280457,1,39498871
2020,39280488,1,39498894
2020,39278295,1,39500811
2020,39278366,1,39498963
2020,39280561,1,39500896
2020,39278584,1,39499171
2020,39280679,1,39501021
2020,39280766,1,39501099
2020,39280791,1,39501121
2020,39278799,1,39501128
2020,39280829,1,39501156
2020,39278852,1,39499450
2020,39287913,1,39508586
2020,39289555,1,39504810
2020,39209875,1,39440080
2020,39214669,1,39440174
2020,39287996,1,39508684
2020,39288090,1,39504892
2020,39214754,1,39438829
2020,39214903,1,39440401
2020,39214967,1,39440477
2020,39210335,1,39440514
2020,39210413,1,39440592
2020,39210478,1,39439224
2020,39288316,1,39508996
2020,39210542,1,39439289
2020,39215230,1,39440751
