"DATA_YEAR","CRIMINAL_ACT_ID","OFFENSE_ID"
2020,6,153992449
2020,6,153992451
2020,6,153992478
2020,9,153992547
2020,6,153990857
2020,6,153993296
2020,9,153996190
2020,6,153996326
2020,6,153996464
2020,9,153323131
2020,9,153320004
2020,9,153324384
2020,9,153324460
2020,1,153325270
2020,3,153328037
2020,9,153353213
2020,6,153348419
2020,6,153348421
2020,6,153353568
2020,2,153355257
2020,9,153350586
2020,9,153355951
2020,3,153356006
2020,6,153593796
2020,9,153545998
2020,9,153553098
2020,9,153605299
2020,9,153586170
2020,1,153588270
2020,6,153588270
2020,6,153591409
2020,9,153588295
2020,9,153588350
2020,9,153591607
2020,9,153591780
2020,9,153591840
2020,9,153591901
2020,6,153588720
2020,1,153588727
2020,6,153588741
2020,6,153588744
2020,9,153592177
2020,6,153588819
2020,9,153592369
2020,9,153680895
2020,9,153592477
2020,1,153588871
2020,9,153588970
2020,6,153589890
2020,6,153593572
2020,9,153593713
2020,8,153593865
2020,6,153688352
2020,9,153594482
2020,9,153594755
2020,9,153683519
2020,9,153590820
2020,9,153595123
2020,9,153596560
2020,1,153596722
2020,9,153597229
2020,9,153597317
2020,9,153597611
2020,9,153598625
2020,1,153602876
2020,9,153602884
2020,9,153602932
2020,9,153604820
2020,8,153605601
2020,9,153605936
2020,8,153607591
2020,6,153679881
2020,9,153679949
2020,1,153680266
2020,9,153680376
2020,9,153676070
2020,9,153680830
2020,6,153680831
2020,9,153680922
2020,9,153681519
2020,9,153681716
2020,9,153686421
2020,9,153686464
2020,9,153681870
2020,1,153686569
2020,9,153686623
2020,6,153686624
2020,6,153682172
2020,9,153687029
2020,9,153682533
2020,6,153682609
2020,9,153682831
2020,6,153683215
2020,9,153689109
2020,1,153684129
2020,1,153689439
2020,12,153689584
2020,2,153690797
2020,9,153685757
2020,9,153691346
2020,1,153686007
2020,9,153691790
2020,6,153696285
2020,9,153691852
2020,9,153691960
2020,7,153696440
2020,8,153697352
2020,9,153697696
2020,6,153697836
2020,9,153698404
2020,9,153694632
2020,3,153698796
2020,9,153698819
2020,9,153694873
2020,3,153695041
2020,6,153695059
2020,8,153695263
2020,9,153699430
2020,9,153699747
2020,6,153695792
2020,6,153700323
2020,9,153362801
2020,9,153363436
2020,9,153364700
2020,9,153359363
2020,6,153359510
2020,6,153359512
2020,9,153365022
2020,9,153365239
2020,6,153359798
2020,9,153365898
2020,9,153534427
2020,6,153360599
2020,6,153572574
2020,9,153360989
2020,6,153367041
2020,9,153372326
2020,9,153372335
2020,6,153368447
2020,2,153372596
2020,9,153539025
2020,6,153539081
2020,6,153490928
2020,9,153494438
2020,9,153496443
2020,9,153496445
2020,9,153496990
2020,6,153495484
2020,9,153495548
2020,1,153495639
2020,9,153495712
2020,1,153497735
2020,6,153497761
2020,9,153495976
2020,9,153497864
2020,9,153497970
2020,6,153501329
2020,6,153498653
2020,6,153499249
2020,9,153502960
2020,6,153500317
2020,9,153504659
2020,8,153505144
2020,6,153506645
2020,6,153505183
2020,9,153506687
2020,9,153323302
2020,9,153324274
2020,9,153324814
2020,9,153326413
2020,1,153326858
2020,6,153325064
2020,6,153325138
2020,6,153327420
2020,1,153328171
2020,6,153329460
2020,9,153332957
2020,6,153333170
2020,9,153329862
2020,6,153329863
2020,6,153330267
2020,6,153333627
2020,6,153333858
2020,6,153330999
2020,1,153358353
2020,1,153363541
2020,6,153358735
2020,9,153358765
2020,6,153364931
2020,6,153359725
2020,9,153359757
2020,3,153366805
2020,6,153367054
2020,9,153367981
2020,9,153368645
2020,9,153372553
2020,6,153372611
2020,9,153376251
2020,6,153375001
2020,9,153376999
2020,6,153381327
2020,9,153381981
2020,9,153331310
2020,6,153328307
2020,9,153329656
2020,9,153333205
2020,6,153333337
2020,6,153333389
2020,9,153330393
2020,9,153333796
2020,9,153330628
2020,9,153330701
