"DATA_YEAR","ARRESTEE_ID","INCIDENT_ID","ARRESTEE_SEQ_NUM","ARREST_DATE","ARREST_TYPE_ID","MULTIPLE_INDICATOR","OFFENSE_TYPE_ID","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","RESIDENT_CODE","UNDER_18_DISPOSITION_CODE","CLEARANCE_IND","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2020,39214657,126831298,1,22-FEB-20,2,"N",23,5,58,"M",1,3,"U","","",58,0
2020,39214755,126828232,1,01-FEB-20,2,"N",20,5,51,"M",1,3,"U","","",51,0
2020,39214843,126831750,2,04-FEB-20,2,"N",16,5,19,"M",1,3,"R","","",19,0
2020,39210147,126831750,1,04-FEB-20,2,"N",16,5,23,"M",1,3,"R","","",23,0
2020,39214845,126831750,3,04-FEB-20,2,"N",16,5,20,"M",1,3,"R","","",20,0
2020,39214844,126828472,2,07-FEB-20,2,"N",45,5,33,"M",0,3,"U","","",33,0
2020,39210240,126831947,1,09-FEB-20,1,"N",51,5,39,"M",1,2,"U","","",39,0
2020,39214922,126828694,1,11-FEB-20,2,"N",5,5,27,"F",1,3,"U","","",27,0
2020,39210247,126831956,1,14-FEB-20,2,"N",5,5,18,"M",1,3,"R","","",18,0
2020,39214945,126831998,1,15-FEB-20,2,"N",5,5,38,"M",1,3,"U","","",38,0
2020,39214947,126832020,1,14-FEB-20,2,"N",45,5,44,"M",1,2,"U","","",44,0
2020,39210280,126828782,1,14-JAN-20,2,"N",27,5,22,"M",1,3,"R","","",22,0
2020,39214957,126828806,1,18-FEB-20,2,"N",23,5,31,"M",1,3,"N","","",31,0
2020,39214980,126832122,1,31-JAN-20,2,"N",16,5,28,"M",1,2,"N","","",28,0
2020,39214995,126828935,1,11-JAN-20,1,"N",23,5,36,"F",1,2,"N","","",36,0
2020,39201145,126799993,1,31-JAN-20,1,"N",21,5,33,"F",2,3,"R","","",33,0
2020,39205795,126800747,1,04-JAN-20,1,"N",23,5,36,"M",1,2,"N","","",36,0
2020,39201504,126802781,1,14-JAN-20,2,"N",51,5,17,"F",0,3,"R","R","",17,0
2020,39205881,126802816,1,20-JAN-20,3,"N",49,5,55,"M",1,2,"N","","",55,0
2020,39206000,126803066,1,04-JAN-20,2,"N",23,5,21,"M",1,3,"U","","",21,0
2020,39201699,126806199,1,07-JAN-20,1,"N",45,5,48,"M",1,3,"U","","",48,0
2020,39201819,126803210,1,05-JAN-20,1,"N",49,5,33,"M",1,2,"R","","",33,0
2020,39202003,126806890,1,24-JAN-20,1,"N",16,5,48,"M",2,3,"R","","",48,0
2020,39202034,126803583,2,30-JAN-20,1,"N",34,5,27,"M",1,3,"N","","",27,0
2020,39202032,126803583,1,30-JAN-20,1,"N",23,5,52,"M",1,3,"U","","",52,0
2020,39205888,126802827,1,22-JAN-20,1,"N",39,5,24,"F",1,2,"R","","",24,0
