"DATA_YEAR","VICTIM_ID","CIRCUMSTANCES_ID","JUSTIFIABLE_FORCE_ID"
2020,139453934,9,
2020,139448773,9,
2020,139448808,9,
2020,139448784,9,
2020,139457822,1,
2020,139458650,9,
2020,139236992,2,
2020,139243180,6,
2020,139253946,2,
2020,139236853,10,
2020,139237321,9,
2020,139250636,1,
2020,139269043,10,
2020,139271890,1,
2020,139271888,1,
2020,139273683,1,
2020,139275445,9,
2020,139282991,10,
2020,139281064,1,
2020,139283327,10,
2020,139283361,10,
2020,139283364,10,
2020,139283367,10,
2020,139281457,9,
2020,139340740,10,
2020,139340756,9,
2020,139340757,9,
2020,139340754,9,
2020,139502909,1,
2020,139408397,2,
2020,139412641,1,
2020,139444587,1,
2020,139441160,6,
2020,139442296,9,
2020,139447476,1,
2020,139442654,1,
2020,139508976,1,
2020,139455023,6,
2020,139449657,1,
2020,139450472,6,
2020,139450472,1,
2020,139451488,9,
2020,139458667,1,
2020,139452265,1,
2020,139479130,1,
2020,139483773,6,
2020,139481448,1,
2020,139485379,9,
2020,139482711,6,
2020,139482880,6,
2020,139488059,10,
2020,139485782,1,
2020,139486910,1,
2020,139487410,1,
2020,139491221,1,
2020,139491350,1,
2020,139491713,6,
2020,139492700,1,
2020,139492868,1,
2020,139496990,9,
2020,139504815,1,
2020,139505714,6,
2020,139505714,1,
2020,139506828,9,
2020,139513741,1,
2020,139483726,1,
2020,139500206,1,
2020,139408425,1,
2020,139500622,9,
2020,139508629,6,
2020,139505057,1,
2020,139412443,1,
2020,139440507,10,
2020,139444840,2,
2020,139445958,9,
2020,139447517,9,
2020,139497010,9,
2020,139501207,9,
2020,139489615,10,
2020,139448394,1,
2020,139453532,1,
2020,139453526,1,
2020,139453537,1,
2020,139454873,9,
2020,139451355,8,
2020,139457767,1,
2020,139451513,2,
2020,139459284,9,
2020,139459284,8,
2020,139482559,6,
2020,139488380,1,
2020,139490204,1,
2020,139493481,1,
2020,139498737,9,
2020,139502657,9,
2020,139508058,1,
2020,139506099,9,
2020,139506427,1,
2020,139506736,6,
2020,139511599,1,
2020,139511719,9,
2020,139512450,6,
2020,139512701,6,
2020,139512802,1,
2020,139587829,1,
2020,139590601,9,
2020,139591664,9,
2020,139591663,9,
2020,139596523,1,
2020,139591915,1,
2020,139597341,1,
2020,139592572,1,
2020,139597629,8,
2020,146978058,9,
2020,146978262,10,
2020,146976349,6,
2020,146978343,6,
2020,146978351,10,
2020,146978371,10,
2020,146978389,6,
2020,146976606,10,
2020,146976654,2,
2020,146976836,9,
2020,146978593,2,
2020,146977076,10,
2020,146977146,9,
2020,146977627,6,
2020,146978804,1,
2020,146983040,4,
2020,146978948,9,
2020,146978997,9,
2020,146983422,12,3
2020,146979038,1,
2020,146983581,6,
2020,146979088,6,
2020,146979115,1,
2020,146979193,6,
2020,146979253,1,
2020,146984058,9,
2020,146979346,1,
2020,146984097,1,
2020,146979455,6,
2020,146979600,6,
2020,146979717,1,
2020,146979721,9,
2020,146984787,10,
2020,146979753,10,
2020,146985536,1,
2020,146985545,6,
2020,146980137,1,
2020,146980136,6,
2020,146985577,1,
2020,146980160,2,
2020,146985604,2,
2020,146985659,1,
2020,146980343,8,
2020,146985863,8,
2020,139401459,6,
2020,139403085,1,
2020,139447472,2,
2020,139404623,8,
2020,146985902,1,
2020,146985905,9,
2020,139414236,6,
2020,139414236,1,
2020,146985906,9,
2020,146980410,9,
2020,146985966,6,
2020,146980748,10,
2020,146980762,1,
2020,146980761,1,
2020,146986512,9,
2020,139440895,1,
2020,139440892,1,
2020,139440921,6,
2020,139441535,9,
2020,139446962,2,
2020,139442383,9,
2020,139442385,9,
2020,139447354,9,
2020,139447456,6,
2020,139447470,2,
2020,139447469,2,
2020,139447467,2,
2020,139447473,8,
2020,139447471,2,
2020,146986513,9,
2020,139454605,10,
2020,146986511,9,
2020,139455684,10,
2020,139456837,1,
2020,139458101,6,
2020,146986517,9,
2020,146980907,1,
2020,146980911,10,
2020,146986561,1,
2020,146986563,1,
2020,146981001,2,
2020,146981002,9,
2020,146981028,9,
2020,146981029,9,
2020,146981032,1,
2020,146986627,9,
2020,146986628,9,
2020,146981036,9,
2020,146981059,6,
2020,139478255,1,
2020,139488691,10,
2020,139250006,1,
2020,139246542,9,
2020,139304945,9,
2020,139305005,9,
2020,139265666,1,
2020,139274813,1,
2020,139279033,6,
2020,139276308,1,
2020,139277138,1,
2020,139283634,10,
2020,139284455,6,
2020,139294932,9,
2020,139294933,9,
2020,139302502,9,
2020,139304940,9,
2020,139305004,6,
2020,139302710,6,
2020,139305220,10,
2020,139302819,9,
2020,139305320,1,
2020,139307947,9,
2020,139306113,1,
2020,139306308,9,
2020,139306543,9,
2020,139308962,6,
2020,139309944,1,
2020,139309943,1,
2020,139310190,9,
2020,139269804,9,
2020,139271893,1,
2020,139272448,1,
2020,139273663,1,
2020,139272505,6,
2020,139279919,1,
2020,139291336,9,
2020,139445399,1,
2020,139447562,1,
2020,139447625,9,
2020,139501968,10,
2020,139453536,1,
2020,139448468,6,
2020,139453756,1,
2020,139496311,6,
2020,139456289,9,
2020,139456289,1,
2020,139514453,10,
2020,139494034,1,
2020,139477337,9,
2020,139479609,6,
2020,139479741,1,
2020,139480520,1,
2020,139481328,9,
2020,139481598,10,
2020,139482142,6,
2020,139482564,10,
2020,139485861,1,
2020,139490486,1,
2020,139492751,9,
2020,139492751,1,
2020,139498640,1,
2020,139498742,1,
2020,139495036,1,
2020,139496500,9,
2020,139502605,1,
2020,139503773,6,
2020,139507931,2,
2020,139508084,10,
2020,139504389,6,
2020,139508769,6,
2020,139508833,10,
2020,139509733,6,
2020,139505879,6,
2020,139506142,8,
2020,139510611,9,
2020,139510666,10,
2020,139513264,1,
2020,139514637,1,
2020,139598039,6,
2020,139518594,1,
2020,139518988,1,
2020,139515006,10,
2020,139582747,9,
2020,139589225,1,
2020,139594226,9,
2020,139589721,1,
2020,139589718,1,
2020,139596266,9,
2020,139591634,9,
2020,139596262,9,
2020,139596255,9,
2020,139596691,9,
2020,139591995,9,
2020,139592002,9,
2020,139592009,9,
2020,139604481,6,
2020,139599384,1,
2020,139599554,1,
2020,139599568,10,
2020,139599570,9,
2020,139599783,10,
2020,139599898,9,
2020,139600441,10,
2020,139600527,1,
2020,139600530,1,
2020,139600687,9,
2020,139600682,10,
2020,139600684,10,
2020,139606086,10,
2020,139601225,1,
2020,139607055,1,
2020,139607287,6,
2020,139602314,2,
2020,139608030,1,
