year,state,STATE,county,County,fips,GEOID,total_pop,tHH,tfHH_18,tfHH_65,HH_inc,clf,clf_ue
2019,AK,Alaska,JUNEAU CITY AND BOROUGH,Juneau City and Borough,2110,05000US02110,32227,12676,3849,1638,88390,17950,818
,,,,,,,,,,,,,
2019,AK,Alaska,KENAI PENINSULA BOROUGH,Kenai Peninsula Borough,2122,05000US02122,58464,21630,6162,3864,66064,27265,1951
,,,,,,,,,,,,,
2019,AK,Alaska,KETCHIKAN GATEWAY BOROUGH,Ketchikan Gateway Borough,2130,05000US02130,13800,5397,1672,879,72728,7564,448
,,,,,,,,,,,,,
2019,AK,Alaska,KODIAK ISLAND BOROUGH,Kodiak Island Borough,2150,05000US02150,13451,4261,1575,543,85839,7075,395
,,,,,,,,,,,,,
2019,AK,Alaska,KUSILVAK CENSUS AREA,Kusilvak Census Area,2158,05000US02158,8250,1724,1202,322,36754,3009,817
,,,,,,,,,,,,,
2019,AK,Alaska,LAKE AND PENINSULA BOROUGH,Lake and Peninsula Borough,2164,05000US02164,1393,421,162,57,44135,770,117
,,,,,,,,,,,,,
2019,AK,Alaska,MATANUSKA-SUSITNA BOROUGH,Matanuska-Susitna Borough,2170,05000US02170,105369,31217,10921,4838,75493,48160,4378
,,,,,,,,,,,,,
2019,AK,Alaska,NOME CENSUS AREA,Nome Census Area,2180,05000US02180,9988,2844,1526,461,61048,4461,768
,,,,,,,,,,,,,
2019,AK,Alaska,NORTH SLOPE BOROUGH,North Slope Borough,2185,05000US02185,9792,1979,1050,297,79306,5937,533
,,,,,,,,,,,,,
2019,AK,Alaska,NORTHWEST ARCTIC BOROUGH,Northwest Arctic Borough,2188,05000US02188,7715,1795,993,324,60906,3200,581
,,,,,,,,,,,,,
2019,AK,Alaska,PETERSBURG BOROUGH,Petersburg Borough,2195,05000US02195,3257,1187,283,294,69948,1724,71
,,,,,,,,,,,,,
2019,AK,Alaska,PRINCE OF WALES-HYDER CENSUS AREA,Prince of Wales-Hyder Census Area,2198,05000US02198,6407,2371,716,422,52379,3102,349
,,,,,,,,,,,,,
2019,AK,Alaska,SITKA CITY AND BOROUGH,Sitka City and Borough,2220,05000US02220,8640,3547,908,597,73682,4871,242
,,,,,,,,,,,,,
2019,AK,Alaska,SKAGWAY MUNICIPALITY,Skagway Municipality,2230,05000US02230,1107,375,78,53,73906,789,51
,,,,,,,,,,,,,
2019,AK,Alaska,SOUTHEAST FAIRBANKS CENSUS AREA,Southeast Fairbanks Census Area,2240,05000US02240,6878,2170,706,465,70056,3148,347
,,,,,,,,,,,,,
2019,AK,Alaska,VALDEZ-CORDOVA CENSUS AREA,Valdez-Cordova Census Area,2261,05000US02261,9243,3177,961,426,79867,5015,169
,,,,,,,,,,,,,
2019,AK,Alaska,WRANGELL CITY AND BOROUGH,Wrangell City and Borough,2275,05000US02275,2502,1027,240,251,53894,1162,77
,,,,,,,,,,,,,
2019,AK,Alaska,YAKUTAT CITY AND BOROUGH,Yakutat City and Borough,2282,05000US02282,649,219,62,36,71607,360,21
,,,,,,,,,,,,,
2019,AK,Alaska,YUKON-KOYUKUK CENSUS AREA,Yukon-Koyukuk Census Area,2290,05000US02290,5377,1856,600,284,41413,2640,450
,,,,,,,,,,,,,
2019,AZ,Arizona,APACHE ,Apache ,4001,05000US04001,71511,20867,6442,4741,32508,20569,2169
,,,,,,,,,,,,,
2019,AZ,Arizona,COCHISE ,Cochise ,4003,05000US04003,125867,50163,14092,11277,49260,46720,2960
,,,,,,,,,,,,,
2019,AZ,Arizona,COCONINO ,Coconino ,4005,05000US04005,141274,47447,12830,7856,59460,72312,5492
,,,,,,,,,,,,,
2019,AZ,Arizona,GILA ,Gila ,4007,05000US04007,53546,21945,5263,6321,43524,20496,1801
,,,,,,,,,,,,,
2019,AZ,Arizona,GRAHAM ,Graham ,4009,05000US04009,37996,11017,4206,2299,51353,14292,1188
,,,,,,,,,,,,,
2019,AZ,Arizona,GREENLEE ,Greenlee ,4011,05000US04011,9522,3132,1227,560,63473,4103,233
,,,,,,,,,,,,,
2019,AZ,Arizona,LA PAZ ,La Paz ,4012,05000US04012,20793,9346,1728,3230,34643,6762,602
,,,,,,,,,,,,,
2019,AZ,Arizona,MARICOPA ,Maricopa ,4013,05000US04013,4328810,1552096,500483,269301,64468,2177823,109605
,,,,,,,,,,,,,
2019,AZ,Arizona,MOHAVE ,Mohave ,4015,05000US04015,207695,86889,18364,25886,45587,79309,6377
,,,,,,,,,,,,,
2019,AZ,Arizona,NAVAJO ,Navajo ,4017,05000US04017,109270,34990,11729,8432,40067,38265,4850
,,,,,,,,,,,,,
