combo,partner_crime,child_crime,stranger_crime,burglary_home_stranger,property_rel,victim_male,victim_female,victim_unknown_sex,offender_male,offender_female,offender_unknown_sex,victim_minor,victim_adult,offender_minor,offender_adult,property_crime,person_crime,society_crime
ADAMS-OH-2019-1,10,10,9,0,NA,32,18,3,37,11,3,4,49,4,49,30,24,3
ADAMS-OH-2019-10,2,5,1,0,NA,14,16,1,18,5,1,1,30,1,30,28,7,2
ADAMS-OH-2019-11,3,4,6,0,NA,19,11,1,16,7,1,3,28,3,28,22,9,5
ADAMS-OH-2019-12,2,4,0,0,NA,24,15,0,20,4,0,0,39,0,39,34,8,8
ADAMS-OH-2019-2,6,11,7,0,NA,34,28,2,38,12,2,3,61,3,61,46,21,3
ADAMS-OH-2019-3,3,12,10,0,NA,26,34,4,19,28,4,2,62,2,62,33,33,0
ADAMS-OH-2019-4,4,8,7,0,NA,14,19,2,19,4,2,2,33,2,33,16,20,0
ADAMS-OH-2019-5,12,19,10,0,NA,27,29,0,29,9,0,4,52,4,52,28,28,3
ADAMS-OH-2019-6,6,12,6,0,NA,16,16,0,18,9,0,1,31,1,31,17,17,3
ADAMS-OH-2019-7,7,19,5,0,NA,24,24,8,31,17,8,12,44,12,44,25,31,11
ADAMS-OH-2019-8,2,5,0,0,NA,14,24,0,24,11,0,1,37,1,37,33,8,6
ADAMS-OH-2019-9,1,17,3,0,NA,30,27,1,25,12,1,8,49,8,49,38,22,3
ADAMS-PA-2019-1,3,2,0,0,NA,5,4,0,9,1,0,3,6,3,6,5,5,1
ADAMS-PA-2019-2,0,3,0,0,NA,16,26,3,19,8,3,6,39,6,39,41,4,0
ADAMS-PA-2019-3,0,0,0,0,NA,1,1,0,5,0,0,0,2,0,2,2,0,4
ADAMS-PA-2019-4,0,1,0,0,NA,4,1,0,7,1,0,2,3,2,3,3,2,6
ADAMS-PA-2019-5,1,4,0,0,2,0,6,0,6,0,0,2,4,2,4,0,6,0
ADAMS-PA-2019-6,2,0,0,0,NA,2,1,0,5,2,0,0,3,0,3,5,2,0
ADAMS-PA-2019-7,1,1,0,0,NA,0,5,0,4,1,0,0,5,0,5,3,2,0
ADAMS-PA-2019-8,0,0,0,0,NA,1,0,0,0,0,0,0,1,0,1,1,0,1
ADAMS-WA-2019-1,8,7,6,0,NA,43,25,0,39,12,0,4,64,4,64,62,16,13
ADAMS-WA-2019-10,7,5,6,0,NA,30,26,0,28,9,0,4,52,4,52,45,17,10
ADAMS-WA-2019-11,12,9,10,4,NA,41,66,0,60,36,0,8,99,8,99,109,23,30
ADAMS-WA-2019-12,14,8,10,0,NA,39,36,0,31,11,0,3,71,3,71,70,24,8
ADAMS-WA-2019-2,11,8,6,0,NA,22,15,0,17,7,0,8,29,8,29,28,15,7
ADAMS-WA-2019-3,4,7,3,0,NA,22,22,0,34,15,0,3,41,3,41,37,16,35
ADAMS-WA-2019-4,8,7,3,0,NA,30,25,0,32,7,0,4,51,4,51,44,19,17
ADAMS-WA-2019-5,9,7,6,0,NA,29,27,0,52,16,0,6,50,6,50,50,21,25
ADAMS-WA-2019-6,14,17,9,0,NA,25,42,0,47,10,0,7,60,7,60,44,28,21
ADAMS-WA-2019-7,6,7,8,0,NA,29,31,0,60,11,0,4,56,4,56,59,20,34
ADAMS-WA-2019-8,8,7,6,9,NA,47,50,0,68,9,0,5,91,5,91,83,29,10
ADAMS-WA-2019-9,8,9,9,0,NA,35,30,0,46,10,0,11,52,11,52,51,27,14
ADAMS-WI-2019-1,2,15,14,0,NA,13,17,0,18,13,0,11,18,11,18,17,16,7
ADAMS-WI-2019-10,0,0,0,0,NA,9,2,0,10,4,0,0,11,0,11,16,1,3
ADAMS-WI-2019-11,2,3,3,0,NA,12,6,0,17,5,0,3,15,3,15,17,4,4
ADAMS-WI-2019-12,3,3,2,0,NA,2,3,0,6,1,0,3,2,3,2,4,3,3
